incident_id,number,user_id,cohort_month,months_since_onboard,opened_at,resolved_at,priority,state,category,assignment_group,location,resolution_hrs,sla_breached,reopen_count
INC8600532,INC0302968,USER0254,2023-10,13,2024-11-15 06:45:20,,1 - Critical,in progress,Software,Database Admin,,,YES,0
INC2625735,INC0305392,USER0018,2023-06,0,2023-06-16 20:03:33,,3 - Moderate,new,Hardware,Database Admin,Chennai,,,2
INC9816966,INC0304600,USER0106,2023-06,11,2024-05-15 07:48:21,,P2,,Network,Service Desk,Delhi,,,2
INC4718877,INC0303083,USER0176,2024-06,0,2023-08-10 22:36:34,,2 - High,in progress,,Service Desk,,,no,0
INC6930965,INC0303834,USER0291,2023-01,23,2024-12-27 06:00:33,,1 - Critical,,,Service Desk,Delhi,,yes,1
INC3327731,INC0301108,USER0257,2023-08,16,2024-12-19,,2 - High,On Hold,,Infrastructure,Bangalore,,no,2
INC4040529,INC0302938,USER0222,2024-06,0,2023/12/29 13:35,30/12/2023 01:28,4 - Low,Resolved,Hardware,Infrastructure,Chennai,11.89,YES,0
INC7382461,INC0300607,USER0025,2023-04,13,02/05/2024 21:06,2024-05-04 21:50:23,P1,Resolved,Security,Security Ops,Hyderabad,48.74,YES,
INC6222843,INC0305373,USER0125,2023-07,11,2024/06/04 11:09,,4 - Low,,,Service Desk,Chennai,,No,
INC8578014,INC0303668,USER0051,2024-03,0,04-09-2023,,3 - Moderate,,Network,Application Support,Hyderabad,,No,
INC9145991,INC0304358,USER0279,2023-06,0,2023-01-28,2023-01-29 16:42:44,LOW,Resolved,,Service Desk,Mumbai,17.27,No,0
INC3514525,INC0300250,USER0288,2024-03,1,2024-04-28 19:54:29,,high,In Progress,Security,Security Ops,Remote,,,1
INC5970438,INC0305431,USER0236,2023-10,0,2023-01-18 02:52:25,N/A,P1,Resolved,Database,Application Support,,,,2
INC2341542,INC0301875,USER0198,2024-01,10,2024/11/21 11:57,,,new,Security,Security Ops,,,,0
INC9371361,INC0303045,USER0257,2023-08,16,2024-12-13 21:36:54,,critical,in progress,,Infrastructure,,,Yes,0
INC3240813,INC0300582,USER0089,2024-04,0,2023-03-31 13:37:00,,high,New,Database,Application Support,Bangalore,,YES,1
INC5264323,INC0303969,USER0164,2023-09,12,2024-09-19 15:47:12,20/09/2024 10:27,critical,resolved,Network,Database Admin,,18.67,No,2
INC9683108,INC0302948,USER0201,2024-02,8,2024-10-26 23:57:15,10-27-2024,P2,resolved,Security,Security Ops,Hyderabad,3.88,YES,
INC4419111,INC0300236,USER0271,2024-01,2,2024-03-16 09:58:39,,LOW,In Progress,Hardware,Database Admin,Chennai,,no,
INC2940234,INC0303137,USER0068,2024-04,6,2024-10-14 06:04:10,,1 - Critical,In Progress,Network,Security Ops,Chennai,,no,0
INC7776512,INC0305259,USER0287,2023-10,7,2024-05-06 20:40:58,,P1,On Hold,,Database Admin,Delhi,,yes,1
INC2940601,INC0305127,USER0090,2023-05,14,2024-07-10 23:40:01,11/07/2024 02:05,P1,CLOSED,Database,Infrastructure,Chennai,2.43,no,0
INC5788231,INC0305175,USER0265,2023-10,2,2023-12-14 06:54:04,2023-12-15 00:36:28,,Closed,Software,Service Desk,,17.71,,2
INC2116731,INC0304363,USER0156,2023-09,0,2023-06-19 18:40:43,,P3,On Hold,Network,Database Admin,,,yes,0
INC7000546,INC0302223,USER0130,2023-01,5,06-15-2023,,LOW,new,Software,Security Ops,Remote,,Yes,
INC7342221,INC0303761,USER0106,2023-06,14,2024-08-26 13:19:35,,P1,,Network,Service Desk,Chennai,,Yes,
INC4475623,INC0303683,USER0071,2024-02,0,2023-01-30 08:39:43,2023/01/31 19:45,P1,resolved,Database,Database Admin,,35.1,No,
INC2553041,INC0304232,USER0041,2023-04,2,2023-06-23 04:31:28,,,In Progress,Access,Infrastructure,Delhi,,no,
INC2860962,INC0304850,USER0288,2024-03,0,2023-12-26 22:33:58,,2 - High,,Security,Security Ops,Chennai,,yes,1
INC3733764,INC0302507,USER0249,2023-12,0,2023-08-03 06:44:17,2023-08-04 01:49:17,P1,resolved,,Database Admin,Chennai,19.08,Yes,
INC5636326,INC0302484,USER0142,2023-10,10,2024-08-12 21:57:21,2024-08-13 03:51:21,3 - Moderate,Resolved,,Application Support,Chennai,5.9,No,0
INC4283087,INC0300312,USER0066,2023-02,6,22/08/2023 12:49,2023/08/22 13:19,,resolved,,Application Support,Bangalore,0.5,yes,1
INC5625223,INC0304009,USER0212,2023-03,0,2023-01-01 11:43:00,,critical,new,Software,Database Admin,Mumbai,,,
INC5262349,INC0301331,USER0271,2024-01,0,2023/09/17 16:34,2023-09-18 20:06:20,P1,Closed,,Database Admin,,27.53,no,0
INC7010926,INC0303767,USER0146,2024-01,0,2023-04-28 03:54:07,,4 - Low,,Security,Service Desk,Hyderabad,,Yes,0
INC6012818,INC0304436,USER0111,2024-05,0,2023-11-18 21:53:41,,1 - Critical,In Progress,Security,Security Ops,Hyderabad,,Yes,
INC2839350,INC0304216,USER0245,2023-09,0,2023-03-01 08:51:31,,P3,,Database,Service Desk,Hyderabad,,No,0
INC3548486,INC0305310,USER0233,2024-01,10,2024-11-09 23:03:19,2024-11-11 06:47:43,critical,Closed,,Application Support,Hyderabad,,YES,2
INC8467435,INC0300635,USER0297,2023-04,5,2023-09-22 05:54:31,NULL,P2,Resolved,Hardware,Application Support,Chennai,,,1
INC5633640,INC0303509,USER0100,2023-05,2,2023-07-02 07:59:07,,3 - Moderate,On Hold,Database,Database Admin,Bangalore,,YES,
INC4295580,INC0300433,USER0268,2024-05,0,09/09/2023 19:46,,P3,New,Network,Database Admin,Remote,,Yes,
INC6166045,INC0302707,USER0049,2023-04,14,2024-06-03 14:18:02,03/06/2024 14:48,P1,resolved,Access,Security Ops,,0.5,No,0
INC4167021,INC0302170,USER0117,2023-04,0,2023-01-27 13:40:08,2023-01-28 01:21:50,P2,CLOSED,Network,Database Admin,Bangalore,,no,
INC3179521,INC0304950,USER0112,2024-01,0,2023/01/23 20:06,,,In Progress,Network,Security Ops,Bangalore,,,0
INC6191118,INC0301990,USER0121,2024-06,0,2024-04-12,,,,Security,Infrastructure,Chennai,,No,
INC5944089,INC0302263,USER0147,2023-07,2,2023-09-22 07:51:42,,,New,Hardware,Service Desk,Bangalore,,yes,
INC4082603,INC0302904,USER0068,2024-04,0,2023-09-06 01:36:23,,,new,,Security Ops,Hyderabad,,no,
INC9575379,INC0302723,USER0130,2023-01,16,2024-05-06 03:47:21,,LOW,in progress,,Security Ops,Chennai,,YES,0
INC4519819,INC0303595,USER0152,2024-05,0,2023-09-29,2023-09-30 04:56:22,2 - High,resolved,Access,Infrastructure,,14.57,yes,
INC6201778,INC0302410,USER0129,2023-02,14,23/04/2024 08:51,,critical,,,Database Admin,Chennai,,No,0
INC4701445,INC0302747,USER0042,2023-07,0,29/06/2023 08:19,,4 - Low,new,,Application Support,Hyderabad,,,
INC7028503,INC0305447,USER0155,2023-07,14,2024/09/21 04:29,,high,new,Software,Service Desk,Mumbai,,YES,0
INC7925372,INC0300628,USER0090,2023-05,0,22/04/2023 11:14,,,,Security,Infrastructure,Hyderabad,,No,
INC6440374,INC0303315,USER0214,2023-02,5,02/07/2023 00:51,2023-07-03 13:36:57,,Closed,Database,Application Support,Delhi,36.76,no,2
INC7933807,INC0303793,USER0259,2024-04,0,2023-09-10 19:27:52,,4 - Low,In Progress,Database,Application Support,,,no,
INC9094359,INC0302546,USER0095,2024-03,3,2024-06-01 11:29:39,2024-06-01,LOW,Resolved,,Security Ops,Remote,6.98,,1
INC4651347,INC0302168,USER0256,2024-04,7,2024-11-09 15:54:02,,,,Hardware,Service Desk,Remote,,,
INC5754560,INC0304262,USER0261,2023-09,11,2024-08-26 18:05:36,,P2,New,Network,Infrastructure,Chennai,,,
INC3465167,INC0300986,USER0043,2023-11,0,2023-02-25 21:54:04,N/A,4 - Low,Closed,Software,Security Ops,Bangalore,,,0
INC4803089,INC0301997,USER0099,2023-04,0,2023-03-01 01:10:34,,3 - Moderate,,Database,Application Support,Hyderabad,,No,0
INC3105018,INC0303035,USER0087,2023-01,3,2023/04/16 03:45,2023-04-16 21:40:13,critical,CLOSED,Security,Service Desk,Hyderabad,17.92,,
INC6000459,INC0302419,USER0268,2024-05,0,02-16-2023,,critical,New,,Database Admin,,,,0
INC5865534,INC0304626,USER0261,2023-09,6,2024-03-07,,LOW,,Security,Infrastructure,Bangalore,,Yes,
INC7277626,INC0304331,USER0091,2023-01,19,2024-08-07,2024-08-07 20:46:22,high,CLOSED,,Infrastructure,Mumbai,0.5,Yes,0
INC5679887,INC0301184,USER0089,2024-04,0,2023-01-14 23:45:35,,LOW,in progress,Database,Application Support,Mumbai,,,
INC9754405,INC0304469,USER0113,2024-02,0,06-07-2023,2023-06-07 08:45:35,LOW,Closed,Security,Database Admin,Chennai,8.53,yes,2
INC2168094,INC0302219,USER0041,2023-04,0,09/03/2023 06:41,2023/03/10 03:45,P2,CLOSED,,Infrastructure,Chennai,,No,
INC9117113,INC0301327,USER0150,2023-10,8,2024-06-21 15:10:59,,high,New,Hardware,Security Ops,,,,0
INC7662686,INC0301109,USER0231,2024-06,3,2024-09-05 07:52:31,,LOW,,Security,Security Ops,,,yes,
INC4041619,INC0303360,USER0098,2024-04,0,25/04/2023 08:04,,P2,,Hardware,Infrastructure,,,,1
INC4742136,INC0303241,USER0071,2024-02,9,2024/11/18 20:55,2024-11-18 22:52:36,,Resolved,Database,Database Admin,,1.95,YES,
INC5208589,INC0302706,USER0169,2023-09,0,2023-02-14 15:46:28,02-14-2023,critical,Resolved,Security,Database Admin,Hyderabad,6.49,No,0
INC7446977,INC0302603,USER0238,2023-11,9,03/08/2024 10:33,,P1,in progress,Network,Security Ops,Hyderabad,,yes,0
INC2003366,INC0304204,USER0140,2023-04,0,2023-03-11,2023-03-11 09:55:42,3 - Moderate,Resolved,,Service Desk,,0.5,No,0
INC7667280,INC0302021,USER0024,2023-11,3,26/02/2024 10:32,2024-02-26 15:47:58,3 - Moderate,Closed,Hardware,Application Support,Delhi,,Yes,
INC5293294,INC0304019,USER0184,2023-11,0,11-11-2023,11-13-2023,3 - Moderate,Closed,Network,Database Admin,Bangalore,27.71,no,2
INC5761723,INC0303193,USER0299,2023-12,0,2023-08-01 09:54:44,,P3,,Access,Application Support,Mumbai,,YES,1
INC5631805,INC0305455,USER0100,2023-05,0,2023-04-29 17:25:45,01/05/2023 06:52,2 - High,CLOSED,Software,Database Admin,Delhi,37.44,Yes,0
INC7423370,INC0304589,USER0083,2023-01,5,2023-06-27 03:36:56,,1 - Critical,,,Service Desk,Hyderabad,,No,
INC8267319,INC0302004,USER0285,2023-01,22,2024-11-14 15:08:13,15/11/2024 19:32,LOW,CLOSED,Network,Application Support,Chennai,,no,
INC6233236,INC0301423,USER0048,2024-06,0,20/05/2024 08:21,,LOW,New,Hardware,Infrastructure,Chennai,,,1
INC3134366,INC0304073,USER0189,2023-10,0,2023-05-06 21:21:26,,3 - Moderate,New,Database,Security Ops,Hyderabad,,,0
INC5125513,INC0302763,USER0147,2023-07,5,17/12/2023 11:47,,,In Progress,Access,Service Desk,Chennai,,,0
INC6802182,INC0300979,USER0072,2023-04,0,2023-03-06 02:35:50,,,,Hardware,Database Admin,Bangalore,,,
INC3654394,INC0305238,USER0208,2023-09,0,2023-09-04 00:04:46,,P2,in progress,Software,Application Support,Bangalore,,Yes,
INC4079093,INC0304176,USER0115,2024-05,4,09-22-2024,,P3,New,Database,Database Admin,,,No,2
INC9845437,INC0304561,USER0111,2024-05,2,07-13-2024,NULL,P1,CLOSED,,Security Ops,Bangalore,35.88,Yes,0
INC8080251,INC0300670,USER0239,2024-02,0,2023-08-16,,,in progress,Security,Infrastructure,Bangalore,,yes,
INC3905768,INC0301178,USER0202,2023-01,6,2023-07-19 20:49:05,,,New,,Application Support,Delhi,,YES,1
INC9597534,INC0300441,USER0241,2024-05,0,2024-04-12 05:48:30,,1 - Critical,New,,Infrastructure,Hyderabad,,,
INC6477125,INC0303552,USER0105,2023-06,15,16/09/2024 19:59,,,new,Software,Service Desk,Hyderabad,,No,0
INC5554534,INC0300923,USER0215,2024-06,0,2023-11-06 03:43:09,2023/11/06 16:01,critical,Closed,Hardware,Application Support,Mumbai,12.3,no,
INC4148627,INC0305212,USER0274,2024-06,0,2023-06-23 15:37:54,,4 - Low,new,,Infrastructure,Mumbai,,YES,0
INC2735081,INC0300023,USER0148,2024-02,0,2024-02-11 01:12:36,2024-02-11 11:30:51,3 - Moderate,Closed,Network,Infrastructure,Chennai,10.3,,
INC8507011,INC0305108,USER0067,2023-02,4,2023-06-20 07:47:56,,LOW,,Hardware,Infrastructure,Delhi,,,2
INC3961184,INC0302347,USER0182,2023-09,13,2024-10-14 14:08:41,15/10/2024 11:17,P3,Closed,Hardware,Security Ops,Chennai,21.14,,2
INC2554658,INC0300994,USER0022,2023-06,9,2024-03-15,,P3,New,,Database Admin,Mumbai,,YES,
INC5455624,INC0304336,USER0110,2023-08,0,2023-05-09 11:47:28,,4 - Low,On Hold,Network,Database Admin,,,,0
INC4780968,INC0302654,USER0168,2023-03,0,2023-01-16 06:24:59,,,,Network,Database Admin,Mumbai,,,0
INC6549220,INC0302905,USER0100,2023-05,0,2023-01-03 11:23:02,,2 - High,,Security,Database Admin,,,yes,0
INC4223978,INC0302067,USER0098,2024-04,4,2024-08-24 20:39:46,,4 - Low,New,Software,Infrastructure,Hyderabad,,YES,2
INC6509309,INC0301811,USER0151,2023-03,8,2023-11-17 17:34:55,,2 - High,in progress,,Service Desk,Bangalore,,,0
INC9368361,INC0303686,USER0068,2024-04,2,2024-06-21 14:36:04,,P2,In Progress,Software,Security Ops,,,no,0
INC6371143,INC0301289,USER0156,2023-09,1,2023-10-02 02:03:51,,P2,in progress,,Database Admin,Delhi,,No,0
INC3473314,INC0300322,USER0089,2024-04,0,08-20-2023,,P1,In Progress,,Application Support,Mumbai,,yes,0
INC8838903,INC0304053,USER0067,2023-02,13,2024-03-17 23:42:24,,,New,Software,Infrastructure,Remote,,,
INC6894929,INC0302625,USER0122,2023-09,0,2023-06-16 00:59:29,,P2,In Progress,,Infrastructure,,,Yes,0
INC2585916,INC0302997,USER0111,2024-05,1,2024-06-20 07:42:14,,1 - Critical,New,Network,Security Ops,Mumbai,,yes,2
INC7923166,INC0302511,USER0151,2023-03,8,2023-11-05 09:16:22,11-05-2023,2 - High,CLOSED,Access,Service Desk,,,YES,0
INC8380759,INC0303319,USER0194,2023-02,11,2024-01-25 13:55:42,,,Closed,Software,Database Admin,Hyderabad,,No,
INC5003489,INC0305165,USER0149,2023-09,13,2024-10-21 12:47:54,2024-10-21 13:17:54,,Closed,Hardware,Service Desk,Mumbai,0.5,No,2
INC6022774,INC0303479,USER0113,2024-02,9,2024-11-21 07:18:10,2024-11-21 22:50:32,P2,Resolved,Access,Database Admin,Remote,15.54,Yes,0
INC9581341,INC0305265,USER0236,2023-10,12,2024/10/26 23:03,2024-10-28 13:29:17,critical,Closed,Network,Application Support,Delhi,38.42,YES,0
INC4868944,INC0301131,USER0164,2023-09,0,07-09-2023,,critical,in progress,,Database Admin,Hyderabad,,YES,0
INC5824895,INC0300772,USER0290,2024-03,9,2024/12/25 14:15,,3 - Moderate,,Security,Infrastructure,Delhi,,,0
INC4012360,INC0303490,USER0188,2023-03,7,04/10/2023 16:28,,P1,,Hardware,Infrastructure,Mumbai,,Yes,1
INC6179634,INC0300362,USER0124,2024-03,3,2024-06-20 06:33:21,N/A,3 - Moderate,Resolved,Access,Infrastructure,Mumbai,15.01,Yes,
INC2400905,INC0303637,USER0292,2023-03,1,2023-04-06 06:00:16,2023-04-06 21:19:28,P3,resolved,Network,Database Admin,Remote,15.32,,2
INC7911344,INC0301095,USER0050,2023-09,3,2023-12-13,,,In Progress,Network,Application Support,Chennai,,YES,
INC5120458,INC0300127,USER0222,2024-06,0,2024/03/09 13:43,,,in progress,,Infrastructure,Mumbai,,no,0
INC8483359,INC0301944,USER0137,2023-03,9,2023-12-26 07:03:26,,P1,new,Security,Database Admin,Remote,,No,
INC7367237,INC0301278,USER0113,2024-02,6,2024-08-25 09:06:50,,high,,,Database Admin,Delhi,,yes,1
INC8093015,INC0302327,USER0213,2023-03,1,20/04/2023 07:57,2023-04-21 12:52:49,,Closed,Security,Infrastructure,,28.92,,0
INC5798352,INC0304840,USER0100,2023-05,18,2024-11-23,,LOW,in progress,Access,Database Admin,,,Yes,
INC4382081,INC0301845,USER0273,2024-03,8,2024-11-05 23:54:35,NULL,critical,Closed,Access,Infrastructure,Chennai,,,1
INC6579674,INC0303978,USER0113,2024-02,0,2023-10-08 05:40:58,,3 - Moderate,in progress,Access,Database Admin,Hyderabad,,YES,
INC5058579,INC0300220,USER0138,2024-02,8,16/10/2024 07:42,2024-10-16 20:22:53,LOW,Closed,Security,Infrastructure,,12.67,Yes,0
INC6532721,INC0303519,USER0292,2023-03,7,27/10/2023 13:30,2023-10-28 08:24:52,,Resolved,Software,Database Admin,,18.9,no,
INC7863882,INC0300568,USER0023,2023-11,10,14/09/2024 12:27,,P3,resolved,Network,Application Support,Delhi,,No,2
INC6584232,INC0303341,USER0264,2023-01,14,2024-03-24,NULL,3 - Moderate,CLOSED,Hardware,Infrastructure,,,no,0
INC4783074,INC0302538,USER0207,2023-02,1,27/03/2023 09:34,,P2,Closed,,Security Ops,,,yes,2
INC6255157,INC0302197,USER0011,2023-05,0,2023-05-16 12:53:57,,,,Access,Infrastructure,Remote,,,
INC3285183,INC0303993,USER0053,2023-04,5,2023-09-17 21:49:11,2023-09-19 01:11:23,1 - Critical,CLOSED,,Application Support,Remote,27.37,YES,
INC5429212,INC0303396,USER0002,2023-11,0,2023-11-22 15:42:11,,3 - Moderate,On Hold,Network,Database Admin,Chennai,,no,2
INC6410023,INC0304142,USER0008,2024-04,0,2023-09-24 10:53:52,2023-09-24 18:27:12,critical,resolved,Network,Service Desk,Remote,7.56,no,
INC7802818,INC0301004,USER0142,2023-10,13,2024-11-28 00:22:36,2024/11/28 08:53,critical,Resolved,Software,Application Support,Hyderabad,8.51,Yes,2
INC2728606,INC0300125,USER0265,2023-10,6,2024-04-15 11:41:32,,2 - High,,Security,Service Desk,Hyderabad,,YES,2
INC6412759,INC0300762,USER0008,2024-04,0,13/11/2023 12:13,,,new,Hardware,Service Desk,Bangalore,,Yes,2
INC7993369,INC0303278,USER0028,2023-09,0,2023-07-16 05:26:01,,P3,new,,Infrastructure,Chennai,,,0
INC2689268,INC0302951,USER0164,2023-09,2,2023-11-15 22:01:19,,3 - Moderate,in progress,Software,Database Admin,Bangalore,,,0
INC6435523,INC0301987,USER0157,2023-12,6,2024-06-15 17:15:28,2024-06-16 20:25:27,,resolved,Network,Application Support,Delhi,,Yes,
INC4016476,INC0300645,USER0090,2023-05,3,08-03-2023,,critical,,Access,Infrastructure,,,Yes,
INC2309496,INC0302469,USER0076,2023-02,0,2023-02-05 23:50:12,02-06-2023,1 - Critical,CLOSED,Security,Service Desk,Mumbai,21.87,no,0
INC9875787,INC0301386,USER0185,2023-02,8,2023-10-25 06:44:06,NULL,P3,Resolved,,Infrastructure,Hyderabad,,no,
INC5092256,INC0304157,USER0176,2024-06,0,2023/12/09 20:02,,P2,,,Service Desk,Remote,,no,
INC3446529,INC0304414,USER0172,2023-05,8,12/01/2024 22:04,,3 - Moderate,in progress,Network,Application Support,Mumbai,,,2
INC4174498,INC0303100,USER0055,2024-05,2,08/07/2024 00:15,,high,In Progress,Hardware,Service Desk,Remote,,,0
INC8440364,INC0302584,USER0189,2023-10,0,2023-02-05 13:07:15,2023-02-06 07:31:00,critical,Closed,Hardware,Security Ops,Bangalore,18.4,Yes,0
INC8979366,INC0300899,USER0275,2023-12,7,2024-07-29,2024-07-30 09:05:46,1 - Critical,Resolved,Software,Service Desk,Remote,19.37,No,2
INC8800249,INC0305080,USER0121,2024-06,0,2023-11-19 02:19:53,NULL,P2,Closed,Software,Infrastructure,,8.63,Yes,0
INC5418356,INC0301537,USER0243,2023-12,0,01/02/2023 10:26,2023-02-02 02:34:43,2 - High,CLOSED,Hardware,Service Desk,Mumbai,16.14,yes,
INC6047481,INC0300963,USER0117,2023-04,19,2024-11-03 18:08:30,,P1,New,,Database Admin,,,,2
INC2892101,INC0304475,USER0008,2024-04,6,2024-10-24,10-25-2024,3 - Moderate,resolved,,Service Desk,Bangalore,6.71,,
INC9622729,INC0302693,USER0126,2023-01,22,2024-11-23 00:45:50,,4 - Low,new,Security,Database Admin,,,,0
INC3481700,INC0305277,USER0148,2024-02,1,2024-03-14 14:35:06,03-15-2024,4 - Low,CLOSED,Hardware,Infrastructure,Bangalore,11.54,yes,0
INC3253083,INC0302135,USER0292,2023-03,2,24/05/2023 10:34,,3 - Moderate,new,,Database Admin,,,yes,0
INC5463306,INC0302085,USER0009,2024-06,0,2023-05-13 22:29:33,,critical,In Progress,,Service Desk,Remote,,no,0
INC5131903,INC0304203,USER0184,2023-11,0,05-14-2023,,3 - Moderate,,Database,Database Admin,Chennai,,Yes,0
INC7635042,INC0303574,USER0126,2023-01,1,2023-02-10 21:57:31,2023-02-11 20:30:46,LOW,Closed,Database,Database Admin,Mumbai,22.55,No,0
INC5715660,INC0301281,USER0015,2023-09,0,2023-01-25 03:56:24,2023-01-26 21:34:14,,Resolved,Software,Service Desk,Delhi,41.63,YES,0
INC5803700,INC0303710,USER0127,2024-04,0,2023-06-26,,1 - Critical,new,,Service Desk,,,Yes,0
INC9336926,INC0304313,USER0209,2023-09,0,07-11-2023,,4 - Low,In Progress,Hardware,Database Admin,,,yes,
INC9504005,INC0305413,USER0252,2024-05,0,28/02/2024 10:46,,2 - High,in progress,Database,Database Admin,,,YES,1
INC3744873,INC0303007,USER0210,2023-06,14,2024-08-22 11:52:58,,,,Database,Database Admin,Delhi,,No,0
INC2627726,INC0301744,USER0121,2024-06,0,2024-04-26 22:56:18,,2 - High,in progress,Network,Infrastructure,Mumbai,,Yes,2
INC5285073,INC0301772,USER0043,2023-11,10,2024-09-16 18:42:28,09-17-2024,2 - High,Resolved,Database,Security Ops,Mumbai,25.27,,1
INC4069886,INC0302581,USER0264,2023-01,13,2024-02-11 21:41:08,,high,,,Infrastructure,Mumbai,,,0
INC9552862,INC0304870,USER0029,2024-06,3,2024-09-15 20:42:01,16/09/2024 18:30,3 - Moderate,Closed,Security,Security Ops,,21.81,yes,
INC9428630,INC0300391,USER0119,2024-02,6,2024-08-19 20:28:06,2024-08-20 16:44:14,P1,resolved,Access,Application Support,,20.27,,0
INC3126614,INC0302362,USER0112,2024-01,1,02-02-2024,,3 - Moderate,New,Hardware,Security Ops,Hyderabad,,YES,1
INC7413726,INC0300126,USER0192,2024-03,0,2023-05-24 08:57:53,,2 - High,In Progress,Hardware,Application Support,,,YES,
INC4219714,INC0304688,USER0156,2023-09,13,2024-10-25 17:22:36,,P1,On Hold,Network,Database Admin,Delhi,,no,
INC3574183,INC0302405,USER0192,2024-03,5,2024-08-09 01:54:36,,1 - Critical,On Hold,Database,Application Support,Mumbai,,Yes,0
INC5482001,INC0302478,USER0129,2023-02,4,2023-06-06 15:13:09,08/06/2023 05:58,P2,Closed,,Database Admin,Bangalore,,No,2
INC9249529,INC0304092,USER0131,2023-05,16,2024-09-11 11:21:15,,LOW,On Hold,Software,Infrastructure,Remote,,,0
INC3698651,INC0304751,USER0153,2023-11,0,2023/10/22 10:52,2023-10-23 08:36:58,P1,Resolved,Security,Application Support,Delhi,21.75,,0
INC5183848,INC0301236,USER0132,2023-01,20,09-12-2024,,3 - Moderate,,Network,Service Desk,Remote,,Yes,0
INC9950075,INC0304017,USER0033,2023-07,3,2023-10-01 19:59:47,2023-10-02 05:45:46,critical,Resolved,Access,Infrastructure,Bangalore,9.77,YES,0
INC5660406,INC0300063,USER0184,2023-11,6,2024-05-21 03:04:26,,P1,In Progress,Software,Database Admin,Remote,,Yes,2
INC2188421,INC0301786,USER0060,2023-08,0,02-03-2023,2023/02/05 08:51,LOW,Resolved,Software,Infrastructure,Remote,33.92,,
INC4554214,INC0304792,USER0273,2024-03,8,2024-11-01 10:10:23,2024-11-01 10:40:23,1 - Critical,resolved,,Infrastructure,Hyderabad,0.5,Yes,0
INC8582249,INC0302582,USER0198,2024-01,4,2024-05-19 13:01:33,,LOW,New,Software,Security Ops,Chennai,,,
